link,feature,q,Q_in,Q_out,B,H,U,Jden,cnrat,N_conc_ri,N_conc_us,N_conc_ds,N_conc_in,C_conc_ri,C_conc_us,C_conc_ds,C_conc_in,mass_N_out,mass_C_out,link_DR,link_EF
10,1,0.0016448096646227443,0.0,0.0016448096646227443,0.04592496130248035,0.09967745367611511,0.35931050528239866,0.0038892874999999997,0.14999999999999997,26.6694,,26.621357219701224,26.6694,4.00041,,3.9523672197012245,4.00041,0.043787065640339046,0.0065008918011027,0.0,0.9981985803843065
11,1,0.009173629160421698,0.009631462778409471,0.01880509193883117,0.2232661086111712,0.19064931639911234,0.4417915507002007,0.003585570187105501,0.3004685823297962,25.161,0.0,12.235829769536178,12.274211902614969,7.560090000000001,0.0,3.6496329165154378,3.6880150495942297,0.2300959037640152,0.06863168253805735,0.0,0.9968729452136463
12,1,0.067793289063523,0.2573364069104615,0.3251296959739845,0.22887081360714728,1.2054730457985308,1.178443378182177,0.0008801508695368727,0.16281967913957202,26.6658,0.0,5.558857831758892,5.560126650672786,4.341717,0.0,0.9040292183240319,0.9052980372379263,1.807349756802371,0.29392674490529136,0.0,0.9997718003575079
13,1,0.13487439249906502,0.21226523073966508,0.3471396232387301,0.19791169357730562,1.2713448810528785,1.3796513615052102,0.0015779988855509964,0.18134081704410784,23.0367,0.0,8.946583261504653,8.950464624853458,4.177493999999999,0.0,1.619203204646505,1.6230845679953105,3.1057135426726545,0.5620895904079322,0.0,0.9995663506296615
14,1,5.0870401998641575e-05,0.06491063295026665,0.06496150335226529,0.31974852512835167,0.3439246089367211,0.5907235226251241,7.453088292873923e-06,0.34783825269418944,28.143900000000002,0.0,0.02203762910212744,0.022039075959279564,9.789525000000001,0.0,0.007664586815518197,0.007666033672670321,0.001431597516793831,0.0004979030821100137,0.0,0.9999343503713679
15,1,0.121868526388079,0.3439347879128157,0.121868526388079,0.1509773501991479,0.7491776234858298,1.077444636543407,0.0008280244212777576,0.16172742719170122,20.1282,0.0,20.12449275290888,5.2661584783400075,3.255282,0.0,3.2515747529088803,0.8516822618856935,2.4525422761045803,0.3962646235776873,0.0,3.8214749585835666
16,1,0.11757845581952689,0.0,0.11757845581952689,0.21162681844429104,0.5463653994055299,1.0168897296271822,0.004708619999999999,0.17519088442756378,27.645,,27.612201985112904,27.645,4.843152,,4.810353985112906,4.843152,3.2466000711864504,0.5655939935148829,0.0,0.9988136004743319
17,1,0.10194428560527771,0.121868526388079,0.22381281199335673,0.1380853046176843,1.0127605243413282,1.6004080104606098,0.002118627615728464,0.17946859631551107,26.6577,0.0,12.1372536310749,12.142290506856579,4.7842199999999995,0.0,2.174122957539027,2.1791598333207056,2.716472865047453,0.4865965727461229,0.0,0.9995851791077776
18,1,0.11571320774624337,0.0,0.11571320774624337,0.22473155706536602,0.6979228846957393,0.7377537628641417,0.00400995,0.2418364116094987,17.055,,17.033619891970062,17.055,4.12452,,4.103139891970065,4.12452,1.9710147972300756,0.4747874787314306,0.0,0.9987464023435979
19,1,0.039797611163603926,0.24668753609207922,0.28648514725568314,0.24072385805822302,0.7718679340111064,1.5418423721744892,0.0006828622199615272,0.18805358119190815,26.8863,0.0,3.733546236796089,3.7349598165137614,5.056065,0.0,0.7009589893856123,0.702372569103285,1.0696055434344292,0.20081433929433198,0.0,0.9996215274629134
